,eventIdx,game_id,Game Seconds,Game Period,X-Coordinate,Y-Coordinate,Shot Distance,Shot Angle,Shot Type,Was Net Empty,Last Event Type,Last X-Coordinate,Last Y-Coordinate,Time from Last Event (seconds),Distance from Last Event,Is Rebound,Change in Shot Angle,Speed,Team Name,Is Goal,xG
20,128,2021020329,1371,2,53,-4,36.22154055254967,83.6598082540901,3,0,5,-56,22,7,112.05802068571441,1,27.34987578006988,16.008288669387774,Carolina Hurricanes,0,0.11053074896335602
21,135,2021020329,1428,2,38,23,55.94640292279746,114.27444113443946,2,0,1,-69,22,31,107.00467279516349,0,0,3.4517636385536608,Carolina Hurricanes,0,0.018977437168359756
22,143,2021020329,1489,2,52,21,42.5440947723653,119.57783868126134,3,0,0,90,32,12,39.56008088970496,0,0,3.2966734074754136,Carolina Hurricanes,0,0.014956917613744736
23,151,2021020329,1575,2,-76,11,17.029386365926403,49.76364169072618,1,0,3,-71,-29,28,40.311288741492746,0,0,1.439688883624741,Washington Capitals,0,0.03384660184383392
24,156,2021020329,1648,2,-60,-3,29.154759474226502,95.9061411137705,3,0,2,-20,16,20,44.28317965096906,0,0,2.214158982548453,Washington Capitals,0,0.07482336461544037
25,162,2021020329,1688,2,-60,-32,152.3975065412817,77.87898454741425,0,0,1,-69,22,12,54.74486277268398,0,0,4.562071897723665,Carolina Hurricanes,0,0.0002352468145545572
26,173,2021020329,1781,2,39,34,60.4648658313239,124.2157021324374,3,0,1,69,-22,5,63.52952069707436,0,0,12.705904139414873,Carolina Hurricanes,0,0.008757239207625389
27,176,2021020329,1817,2,19,38,114.49017425089369,70.61548432064217,0,0,0,89,-32,14,98.99494936611666,0,0,7.0710678118654755,Washington Capitals,0,0.0009546016808599234
28,184,2021020329,1918,2,-85,-6,7.211102550927978,146.30993247402023,0,0,0,-83,37,10,43.04648650006177,0,0,4.304648650006177,Washington Capitals,1,0.12732107937335968
29,187,2021020329,1959,2,37,32,61.05735008989499,121.6075022462489,2,0,5,-46,35,26,83.05419917138447,1,70.75148866081994,3.1943922758224796,Carolina Hurricanes,0,0.0014142555883154273
30,189,2021020329,1977,2,-84,-28,28.442925306655784,169.8753283446022,0,0,6,-56,-12,8,32.2490309931942,0,0,4.031128874149275,Washington Capitals,1,0.02524445950984955
31,200,2021020329,2115,2,-77,4,12.649110640673518,71.56505117707799,1,0,4,40,-32,14,122.41323457861898,0,0,8.743802469901356,Washington Capitals,0,0.044628530740737915
32,201,2021020329,2118,2,-57,14,34.92849839314596,66.37062226934319,0,0,5,-77,4,3,22.360679774997898,1,-5.194428907734803,7.4535599249993,Washington Capitals,0,0.022098928689956665
33,208,2021020329,2210,2,43,-11,47.29693436154187,76.55138494831348,3,0,1,-69,22,20,116.76043850551436,0,0,5.838021925275718,Carolina Hurricanes,0,0.022790467366576195
34,214,2021020329,2298,2,-48,-19,45.18849411078001,114.86369657175187,2,0,0,-93,30,5,66.52818951391959,0,0,13.305637902783918,Washington Capitals,0,0.011572600342333317
35,221,2021020329,2387,2,46,29,51.86520991955976,123.9964591482505,0,0,1,-20,-22,32,83.40863264674707,0,0,2.606519770210846,Carolina Hurricanes,0,0.0034685491118580103
36,231,2021020329,2431,3,84,-12,13.0,22.61986494804043,1,0,0,-96,24,16,183.56470248934025,0,0,11.472793905583766,Washington Capitals,0,0.0018193490104749799
